Sr No,Category,Questions,Option A,Option B,Option C,Option D,Correct Answer
"11,About Content / Initiatives : Languages,NBT Vyapar is a weekend-only business feature.,TRUE,FALSE,,,B",About Content / Initiatives : Languages,NBT Vyapar is a weekend-only business feature.,TRUE,FALSE,,,B
"12,About Content / Initiatives : Languages,NBT Lens regularly features client brand innovations.,TRUE,FALSE,,,A",About Content / Initiatives : Languages,NBT Lens regularly features client brand innovations.,TRUE,FALSE,,,A
"13,About Content / Initiatives : Languages,NBT Utsav includes only food festivals.,TRUE,FALSE,,,B",About Content / Initiatives : Languages,NBT Utsav includes only food festivals.,TRUE,FALSE,,,B
"14,About Content / Initiatives : Languages,The AI column in NBT gets published weekly 3 days?,TRUE,FALSE,,,B",About Content / Initiatives : Languages,The AI column in NBT gets published weekly 3 days?,TRUE,FALSE,,,B
"15,About Content / Initiatives : Languages,Just Zindagi talks about Bollywood gossip.,TRUE,FALSE,,,B",About Content / Initiatives : Languages,Just Zindagi talks about Bollywood gossip.,TRUE,FALSE,,,B
"16,About Content / Initiatives : Languages,In addition to 'Speaking Tree', which of the following is a regular column in Navbharat Times that focuses on spirituality and philosophy?,Bhakti Sutra,Jeevan Darshan,Dharam Karam,Atma Vichar,C",About Content / Initiatives : Languages,"In addition to 'Speaking Tree', which of the following is a regular column in Navbharat Times that focuses on spirituality and philosophy?",Bhakti Sutra,Jeevan Darshan,Dharam Karam,Atma Vichar,C
"17,About Content / Initiatives : Languages,What is the primary goal of NBT Utsav in terms of reader engagement?,To highlight government schemes and civic complaints,To celebrate cultural festivities and build emotional connect with readers,To publish daily religious calendars and rituals,To promote political opinion columns across regions,B",About Content / Initiatives : Languages,What is the primary goal of NBT Utsav in terms of reader engagement?,To highlight government schemes and civic complaints,To celebrate cultural festivities and build emotional connect with readers,To publish daily religious calendars and rituals,To promote political opinion columns across regions,B
"18,About Content / Initiatives : Languages,Which set accurately reflects three unique editorial segments of Navbharat Times and their content focus?,Manoranjan (sports), Vyapar (education), Swad (astrology),Manoranjan (entertainment), Vyapar (business), Just Zindagi (human stories),Vyapar (health), Udaan (fashion), Just Zindagi (celebrity news),Just Zindagi (finance), Manoranjan (current affairs), Vyapar (youth columns),B",About Content / Initiatives : Languages,Which set accurately reflects three unique editorial segments of Navbharat Times and their content focus?,"Manoranjan (sports), Vyapar (education), Swad (astrology)","Manoranjan (entertainment), Vyapar (business), Just Zindagi (human stories)","Vyapar (health), Udaan (fashion), Just Zindagi (celebrity news)","Just Zindagi (finance), Manoranjan (current affairs), Vyapar (youth columns)",B
"19,Basic Product Knowledge : English,What does TIMS stand for?,Times of India Metro Suppliment,Times Integrated Media Strategy,Times Interactive Market Solutions,The Innovation Media Space,A",Basic Product Knowledge : English,What does TIMS stand for?,Times of India Metro Suppliment,Times Integrated Media Strategy,Times Interactive Market Solutions,The Innovation Media Space,A
"20,Basic Product Knowledge : English,TIMS innovations are focused on:,Only print formats,Social media ads,Experiential and integrated formats,SEO for articles,C",Basic Product Knowledge : English,TIMS innovations are focused on:,Only print formats,Social media ads,Experiential and integrated formats,SEO for articles,C
"21,About Content / Initiatives : English,Which platform does TIMS heavily integrate with for celebrity-led formats?,Radio Mirchi,BT Lounge,Times TV,ET Edge,B",About Content / Initiatives : English ,Which platform does TIMS heavily integrate with for celebrity-led formats?,Radio Mirchi,BT Lounge,Times TV,ET Edge,B
"22,About Content / Initiatives : English,TIMS BT Lounge often feature:,Product placements in web series,ILU (Innovative Logo Unit) branding,QR-only ads,Local cinema ads,B",About Content / Initiatives : English ,TIMS BT Lounge often feature:,Product placements in web series,ILU (Innovative Logo Unit) branding,QR-only ads,Local cinema ads,B
"23,About Content / Initiatives : English,TIMS BT Lounge offers exclusive seating for sponsors during:,Editorial meets,Award nights,Talk show shoots,Sales calls,C",About Content / Initiatives : English ,TIMS BT Lounge offers exclusive seating for sponsors during:,Editorial meets,Award nights,Talk show shoots,Sales calls,C
"24,About Content / Initiatives : English,Which of the following is a key client engagement tool of TIMS BT Lounge?,Monthly CRM reports,Brand POC engagement with celebs,White paper publishing,Social listening tools,B",About Content / Initiatives : English ,Which of the following is a key client engagement tool of TIMS BT Lounge?,Monthly CRM reports,Brand POC engagement with celebs,White paper publishing,Social listening tools,B
"25,Basic Product Knowledge : English,TIMS innovations help brands shift from:,Awareness to Pricing,Print to TV,Storytelling to Story-doing,Offline to Digital,C",Basic Product Knowledge : English,TIMS innovations help brands shift from:,Awareness to Pricing,Print to TV,Storytelling to Story-doing,Offline to Digital,C
"26,Basic Product Knowledge : English,The core model of TIMS is:,Print-first,Experience-led,Digital-only,Radio-centric,B",Basic Product Knowledge : English,The core model of TIMS is:,Print-first,Experience-led,Digital-only,Radio-centric,B
"27,Basic Product Knowledge : English,TIMS offers multiple integration formats across:,Just outdoor branding,ATL, BTL, and digital,Radio and newsletters only,Voice and IVR only,B",Basic Product Knowledge : English,TIMS offers multiple integration formats across:,Just outdoor branding,"ATL, BTL, and digital",Radio and newsletters only,Voice and IVR only,B
"28,Basic Product Knowledge : English,TIMS campaigns can be tracked via:,TimesPulse only,No tracking system,Custom KPIs & brand uplift metrics,Web cookies,C",Basic Product Knowledge : English,TIMS campaigns can be tracked via:,TimesPulse only,No tracking system,Custom KPIs & brand uplift metrics,Web cookies,C
"29,Basic Product Knowledge : English,TIMS offers branding across digital and on-ground events.,TRUE,FALSE,,,A",Basic Product Knowledge : English,TIMS offers branding across digital and on-ground events.,TRUE,FALSE,,,A
"30,Basic Product Knowledge : Languages,Language brands under TOI only include Navbharat Times and Maharashtra Times.,TRUE,FALSE,,,B",Basic Product Knowledge : Languages,Language brands under TOI only include Navbharat Times and Maharashtra Times.,TRUE,FALSE,,,B
"31,Basic Product Knowledge : Digital,Which of the following is the most effective way to reach Tamil, Telugu, and Malayalam-speaking audiences through our TIL platform?,TOI.com in Tamil, Telugu, and Malayalam languages,TIL offers content only in English,Samayam in Tamil, Telugu, and Malayalam,We rely on alliance partners as we don’t have direct regional platforms,C",Basic Product Knowledge : Digital,"Which of the following is the most effective way to reach Tamil, Telugu, and Malayalam-speaking audiences through our TIL platform?","TOI.com in Tamil, Telugu, and Malayalam languages",TIL offers content only in English,"Samayam in Tamil, Telugu, and Malayalam",We rely on alliance partners as we don’t have direct regional platforms,C
"32,Basic Product Knowledge : English,ILU branding appears in both print and digital formats.,TRUE,FALSE,,,A",Basic Product Knowledge : English,ILU branding appears in both print and digital formats.,TRUE,FALSE,,,A
"33,About Content / Initiatives : English,BT Lounge is not part of TIMS formats.,TRUE,FALSE,,,B",About Content / Initiatives : English ,BT Lounge is not part of TIMS formats.,TRUE,FALSE,,,B
"34,About Content / Initiatives : Languages,Times Marathi Utsav is a part of regional innovations.,TRUE,FALSE,,,A",About Content / Initiatives : Languages,Times Marathi Utsav is a part of regional innovations.,TRUE,FALSE,,,A
"35,Basic Product Knowledge : English,TIMS only works on event integrations.,TRUE,FALSE,,,B",Basic Product Knowledge : English,TIMS only works on event integrations.,TRUE,FALSE,,,B
"36,About Content / Initiatives : English,Brand POCs can engage with celebrities through pre-approved formats in TIMS.,TRUE,FALSE,,,A",About Content / Initiatives : English ,Brand POCs can engage with celebrities through pre-approved formats in TIMS.,TRUE,FALSE,,,A
"37,Basic Product Knowledge : Languages,Which of the following correctly matches BCCL's language brands with their primary regions of circulation?,Dainik Bhaskar – East, Navbharat Times – West, Vijay Karnataka – North,Navbharat Times – North & Mumbai, Vijay Karnataka – South, Maharashtra Times – West,Maharashtra Times – North, Vijay Karnataka – East, Navbharat Times – South,Navbharat Times – South, Vijay Karnataka – West, Maharashtra Times – East,B",Basic Product Knowledge : Languages,Which of the following correctly matches BCCL's language brands with their primary regions of circulation?,"Dainik Bhaskar – East, Navbharat Times – West, Vijay Karnataka – North","Navbharat Times – North & Mumbai, Vijay Karnataka – South, Maharashtra Times – West","Maharashtra Times – North, Vijay Karnataka – East, Navbharat Times – South","Navbharat Times – South, Vijay Karnataka – West, Maharashtra Times – East",B
"38,Basic Product Knowledge : Languages,Which city is NOT an edition under Navbharat Times?,Delhi,Mumbai,Lucknow,Jaipur,D",Basic Product Knowledge : Languages,Which city is NOT an edition under Navbharat Times?,Delhi,Mumbai,Lucknow,Jaipur,D
"39,Basic Product Knowledge : Languages,Which of the following cities is NOT a Vijay Karnataka edition?,Mysore,Mangalore,Hubli,Chikmagalur,D",Basic Product Knowledge : Languages,Which of the following cities is NOT a Vijay Karnataka edition?,Mysore,Mangalore,Hubli,Chikmagalur,D
"40,Basic Product Knowledge : English,Across all BCCL publications, how many distinct Education Times editions are published across metro and regional markets?,27,22,24,15,A",Basic Product Knowledge : English,"Across all BCCL publications, how many distinct Education Times editions are published across metro and regional markets?",27,22,24,15,A
"41,Basic Product Knowledge : English,What does the edition code ""ALVAR"" represent in publication network?,Allahabad,Alvar,Varanasi,Alampur,A;C",Basic Product Knowledge : English,"What does the edition code ""ALVAR"" represent in publication network?",Allahabad,Alvar,Varanasi,Alampur,"A,C"
"42,Basic Product Knowledge : Languages,MT Pune has which of these supplements running all days?,MT Aurangabad Plus,Pune Plus,Nashik Times,MT North Maharashtra,B",Basic Product Knowledge : Languages,MT Pune has which of these supplements running all days?,MT Aurangabad Plus,Pune Plus,Nashik Times,MT North Maharashtra,B
"43,Basic Product Knowledge : Languages,Which supplement is integrated in MTPUPL on Saturday and Sunday in Pune?,Sanwad,Manoranjan,Just Zindagi,NBT Lens,A",Basic Product Knowledge : Languages,Which supplement is integrated in MTPUPL on Saturday and Sunday in Pune?,Sanwad,Manoranjan,Just Zindagi,NBT Lens,A
"44,Basic Product Knowledge : Languages,Which region does NBT Mumbai serve?,South Mumbai only,Western suburbs,Entire Mumbai & extended MMR,Only Navi Mumbai,C",Basic Product Knowledge : Languages,Which region does NBT Mumbai serve?,South Mumbai only,Western suburbs,Entire Mumbai & extended MMR,Only Navi Mumbai,C
"45,Basic Product Knowledge : Digital,Times Samayam is available in which all languages?,Hindi, Bengali,Marathi and Gujarati,Tamil, Telugu, Malayalam,Kannada and Malayalam,C",Basic Product Knowledge : Digital,Times Samayam is available in which all languages?,"Hindi, Bengali",Marathi and Gujarati,"Tamil, Telugu, Malayalam",Kannada and Malayalam,C
"46,Basic Product Knowledge : Languages,NBT Masala Mix is a business feature.,TRUE,FALSE,,,B",Basic Product Knowledge : Languages,NBT Masala Mix is a business feature.,TRUE,FALSE,,,B
"47,Basic Product Knowledge : Languages,Vijay Karnataka editions not included in Ramanagara and Chamarajnagar.,TRUE,FALSE,,,A",Basic Product Knowledge : Languages,Vijay Karnataka editions not included in Ramanagara and Chamarajnagar.,TRUE,FALSE,,,A
"48,Basic Product Knowledge : Languages,MT Vasai-Virar does not get published on Sundays.,TRUE,FALSE,,,A",Basic Product Knowledge : Languages,MT Vasai-Virar does not get published on Sundays.,TRUE,FALSE,,,A
"49,Basic Product Knowledge : Digital,Times Samayam does not publish in the southern region.,TRUE,FALSE,,,B",Basic Product Knowledge : Digital,Times Samayam does not publish in the southern region.,TRUE,FALSE,,,B
"50,Basic Product Knowledge : Languages,MT Nashik Times is a supplement of MaTa.,TRUE,FALSE,,,A",Basic Product Knowledge : Languages,MT Nashik Times is a supplement of MaTa.,TRUE,FALSE,,,A
"51,About Content / Initiatives : Languages,Just Zindagi is a column that appears in Vijay Karnataka.,TRUE,FALSE,,,B",About Content / Initiatives : Languages,Just Zindagi is a column that appears in Vijay Karnataka.,TRUE,FALSE,,,B
"52,Basic Product Knowledge : Languages,""Namma Mysore City"" is part of a local-to-local initiative by VK.,TRUE,FALSE,,,A",Basic Product Knowledge : Languages,“Namma Mysore City” is part of a local-to-local initiative by VK.,TRUE,FALSE,,,A
"53,Basic Product Knowledge : Languages,MT Aurangabad does not publish MT Aurangabad Plus.,TRUE,FALSE,,,B",Basic Product Knowledge : Languages,MT Aurangabad does not publish MT Aurangabad Plus.,TRUE,FALSE,,,B
"54,Basic Product Knowledge : English,Aurangabad Plus get published as pull out all days?,TRUE,FALSE,,,B",Basic Product Knowledge : English,Aurangabad Plus get published as pull out all days?,TRUE,FALSE,,,B
"55,Basic Product Knowledge : Languages,Which of the following are actual Maharashtra Times supplements correctly matched with their editions?,MTPUPL – Pune,Nashik Times – Aurangabad,MT Vasai Virar – Mumbai,Nashik Times -Nashik,A;C;D",Basic Product Knowledge : Languages,Which of the following are actual Maharashtra Times supplements correctly matched with their editions?,MTPUPL – Pune,Nashik Times – Aurangabad,MT Vasai Virar – Mumbai,Nashik Times -Nashik,"A,C,D"
"56,About Content / Initiatives : Languages,What is the primary purpose of the ""Masala Mix"" section in Navbharat Times?,To provide detailed political analysis and budget reports,To share recipes and regional cuisine only,To offer entertainment, lifestyle, and quirky city stories for urban, younger readers,To publish job listings and classifieds,C",About Content / Initiatives : Languages,"What is the primary purpose of the ""Masala Mix"" section in Navbharat Times?",To provide detailed political analysis and budget reports,To share recipes and regional cuisine only,"To offer entertainment, lifestyle, and quirky city stories for urban, younger readers",To publish job listings and classifieds,C
"57,Basic Product Knowledge : Languages,How does Vijay Karnataka cater to hyperlocal regions through its supplements?,By republishing content from national editions,Through syndicated columns shared with TOI,With the “NAMMA” series tailored for specific cities like Mysore, Chamarajnagar, and Ramanagara,By translating NBT content into Kannada,C",Basic Product Knowledge : Languages,How does Vijay Karnataka cater to hyperlocal regions through its supplements?,By republishing content from national editions,Through syndicated columns shared with TOI,"With the “NAMMA” series tailored for specific cities like Mysore, Chamarajnagar, and Ramanagara",By translating NBT content into Kannada,C
"58,Basic Product Knowledge : Languages,How do BCCL’s language brands help deepen market penetration?,By reducing advertising costs in metro cities,By replacing all English content with regional jokes and trivia,By offering culturally relevant, regional content in local languages across print and digital,By publishing only central government updates in regional formats,C",Basic Product Knowledge : Languages,How do BCCL’s language brands help deepen market penetration?,By reducing advertising costs in metro cities,By replacing all English content with regional jokes and trivia,"By offering culturally relevant, regional content in local languages across print and digital",By publishing only central government updates in regional formats,C
"59,Basic Product Knowledge : Languages,A health brand wants to engage working women in metro cities. Which platform under NBT or MaTa would suit best for storytelling and impact?,NBT IRA,AWBR MT,Just Zindagi,Vyapar,B",Basic Product Knowledge : Languages,A health brand wants to engage working women in metro cities. Which platform under NBT or MaTa would suit best for storytelling and impact?,NBT IRA,AWBR MT,Just Zindagi,Vyapar,B
"60,Basic Product Knowledge : Languages,A retail brand wants to advertise on a Sunday in Faridabad and Ghaziabad through Navbharat Times. Which supplement would carry this campaign?,NBT Vyapar,NBT IRA,NBT Masala Mix,NBT Utsav Special,C",Basic Product Knowledge : Languages,A retail brand wants to advertise on a Sunday in Faridabad and Ghaziabad through Navbharat Times. Which supplement would carry this campaign?,NBT Vyapar,NBT IRA,NBT Masala Mix,NBT Utsav Special,C
"61,Basic Product Knowledge : English,Which edition of ET is NOT a part of the listed supplements?,Ahmedabad,Bengaluru,Hyderabad,Bhubaneswar,D",Basic Product Knowledge : English,Which edition of ET is NOT a part of the listed supplements?,Ahmedabad,Bengaluru,Hyderabad,Bhubaneswar,D
"62,About Content / Initiatives : English,ET Edge is primarily focused on:,Supplements,Corporate Events & Thought Leadership,Radio ads,Bollywood coverage,B",About Content / Initiatives : English ,ET Edge is primarily focused on:,Supplements,Corporate Events & Thought Leadership,Radio ads,Bollywood coverage,B
"63,About Content / Initiatives : English,On which day is the ‘Times Parenting’ supplement gets published in The Times of India?,Monday,Wednesday,Saturday,Sunday,D",About Content / Initiatives : English ,On which day is the ‘Times Parenting’ supplement gets published in The Times of India?,Monday,Wednesday,Saturday,Sunday,D
"64,Basic Product Knowledge : Languages,What are the supplements that go with MaTa Pune and MaTa Mumbai respectively?,MaTa Pune – Nashik Times; MaTa Mumbai – Pune Times,MaTa Pune – MTPUPL, Sanwad; MaTa Mumbai – MUMT, MTVAVR,MaTa Pune – Sanwad, Mirror Now; MaTa Mumbai – MaTa Aurangabad Plus,MaTa Pune – Loksatta; MaTa Mumbai – Saamana,B",Basic Product Knowledge : Languages,What are the supplements that go with MaTa Pune and MaTa Mumbai respectively?,MaTa Pune – Nashik Times; MaTa Mumbai – Pune Times,"MaTa Pune – MTPUPL, Sanwad; MaTa Mumbai – MUMT, MTVAVR","MaTa Pune – Sanwad, Mirror Now; MaTa Mumbai – MaTa Aurangabad Plus",MaTa Pune – Loksatta; MaTa Mumbai – Saamana,B
"65,Basic Product Knowledge : Languages,""NBT Masala Mix"" runs in Delhi on which days?,Mon-Fri,Daily,Wed/Fri/Sat/Sun,Weekends only,C",Basic Product Knowledge : Languages,"""NBT Masala Mix"" runs in Delhi on which days?",Mon-Fri,Daily,Wed/Fri/Sat/Sun,Weekends only,C
"66,Basic Product Knowledge : English,What does ILU stand for in TIMS innovations?,Integrated Label Utility,Interactive Layout Unit,Innovative Logo Unit,Influencer Launch Utility,C",Basic Product Knowledge : English,What does ILU stand for in TIMS innovations?,Integrated Label Utility,Interactive Layout Unit,Innovative Logo Unit,Influencer Launch Utility,C
"67,Basic Product Knowledge : English,Which of these is NOT an edition under ET?,Ahmedabad,Bangalore,Kanpur,Chennai,C",Basic Product Knowledge : English,Which of these is NOT an edition under ET?,Ahmedabad,Bangalore,Kanpur,Chennai,C
"68,About Content / Initiatives : Languages,Just Zindagi features what kind of stories?,Business trends,Bollywood gossip,Real-life human stories,Investment tips,C",About Content / Initiatives : Languages,Just Zindagi features what kind of stories?,Business trends,Bollywood gossip,Real-life human stories,Investment tips,C
"69,Basic Product Knowledge : English,Which TOI format wraps editorial content for immersive reading and ads?,Superpano,Edit Merge,Masthead Integration,Flap,B",Basic Product Knowledge : English,Which TOI format wraps editorial content for immersive reading and ads?,Superpano,Edit Merge,Masthead Integration,Flap,B
"70,About Content / Initiatives : Languages,Which section under Vijay Karnataka provides ultra-local coverage of Mysore?,Mysuru Darpan,Namma Mysore City,City Life Kannada,VK Express,B",About Content / Initiatives : Languages,Which section under Vijay Karnataka provides ultra-local coverage of Mysore?,Mysuru Darpan,Namma Mysore City,City Life Kannada,VK Express,B
"71,About Content / Initiatives : Languages,Which business segment in Navbharat Times publishes weekday-focused economic news?,NBT Udyog,NBT Arth Vyakhya,NBT Vyapar,Rozgar Times,C",About Content / Initiatives : Languages,Which business segment in Navbharat Times publishes weekday-focused economic news?,NBT Udyog,NBT Arth Vyakhya,NBT Vyapar,Rozgar Times,C
"72,Basic Product Knowledge : Languages,Which Vijay Karnataka supplement targets rural readership in Karnataka?,VK Samvad,Namma Gramanthara,Jana Karnataka,Gram Seva Express,B",Basic Product Knowledge : Languages,Which Vijay Karnataka supplement targets rural readership in Karnataka?,VK Samvad,Namma Gramanthara,Jana Karnataka,Gram Seva Express,B
"73,Basic Product Knowledge : Languages,True or False: Maharashtra Times (MaTa) has a daily edition in Nanded.,TRUE,FALSE,,,B",Basic Product Knowledge : Languages,True or False: Maharashtra Times (MaTa) has a daily edition in Nanded.,TRUE,FALSE,,,B
"74,Basic Product Knowledge : English,Which innovative format in TOI features a die-cut window on the front page, often revealing part of an ad or message?,Times Gimmick,Times Reveal,Times Window,Times ViewCut,C",Basic Product Knowledge : English,"Which innovative format in TOI features a die-cut window on the front page, often revealing part of an ad or message?",Times Gimmick,Times Reveal,Times Window,Times ViewCut,C
"75,Others,How does “story-doing” differ from traditional advertising in brand communication?,It uses louder ad formats to improve recall,It focuses on regional languages only,It creates real brand experiences for consumers instead of just telling brand stories,It relies solely on influencer promotions,C",Others,How does “story-doing” differ from traditional advertising in brand communication?,It uses louder ad formats to improve recall,It focuses on regional languages only,It creates real brand experiences for consumers instead of just telling brand stories,It relies solely on influencer promotions,C
"76,Basic Product Knowledge : English,ET Edge is responsible for creating daily editorial pages.,TRUE,FALSE,,,B",Basic Product Knowledge : English,ET Edge is responsible for creating daily editorial pages.,TRUE,FALSE,,,B
"77,About Content / Initiatives : Languages,Times Marathi Utsav focuses on which content type?,Tech news,Cultural stories,Investment news,Astrology,B",About Content / Initiatives : Languages,Times Marathi Utsav focuses on which content type?,Tech news,Cultural stories,Investment news,Astrology,B
"78,Basic Product Knowledge : Languages,Which MaTa supplement is NOT published daily?,Pune Plus,MT Vasai-Virar,Nashik Times,MT Nagpur,B",Basic Product Knowledge : Languages,Which MaTa supplement is NOT published daily?,Pune Plus,MT Vasai-Virar,Nashik Times,MT Nagpur,B
"79,Basic Product Knowledge : Languages,What is the name of NBT back page on Sunday?,NBT Ravivar,NBT Front Page-2,NBT Khel Sansar,Business News,B",Basic Product Knowledge : Languages,What is the name of NBT back page on Sunday?,NBT Ravivar,NBT Front Page-2,NBT Khel Sansar,Business News,B
"80,Basic Product Knowledge : Languages,What is the masthead of Appointment column on NBT?,Times Ascent,NBT Ascent,NBT Jobs,NBT Smart Jobs,A",Basic Product Knowledge : Languages,What is the masthead of Appointment column on NBT?,Times Ascent,NBT Ascent,NBT Jobs,NBT Smart Jobs,A
"81,About Content / Initiatives : English,What is the primary focus of ET Edge?,Corporate and Business Leadership,Film and TV reviews,Sports analysis,Local news coverage,A",About Content / Initiatives : Languages,What is the name of the column that features inspirational stories on NBT's Edit page?,Kahani,Moral story,Prerna,Ekda,D
"82,Basic Product Knowledge : English,Which day does 'Times Parenting' publish in TOI?,Sunday,Monday,Wednesday,Thursday,A",About Content / Initiatives : English ,"What does the ""City Beats"" column feature?",Crime News,Musical Events,Political Buzz,City Events,D
"83,Basic Product Knowledge : English,Which TIMS format features influencer-led short videos?,BT Lounge,ILU,ILU Plus,Social Byte,D",About Content / Initiatives : Languages,Under what name is the “inside story” published in NBT?,NBT Insight,NBT Lens,NBT Andar Ki Baat,NBT Khaas,B
84,Basic Product Knowledge : Languages,On which day does the business page not appear in NBT?,Monday,Tuesday,Wednesday,Friday,A
85,Basic Product Knowledge : Languages,In which of the following cities is there no NBT edition?,Ghaziabad,Lucknow,Faridabad,Meerut,D
86,Basic Product Knowledge : English,Is doing an innovation in Sports page allowed? ,Yes ,No ,,,A
87,Basic Product Knowledge : Languages,Which special column in NBT is dedicated to school and college activities in Delhi-NCR?,Education Times,Student Special,Gyanodaya,Planet Campus,D
88,About Content / Initiatives : Languages,"What is the name of the NBT daily page focused on local issues of Delhi like water, electricity, and traffic?",Delhi Live,Planet Campus,Meri Colony Delhi Mera Shehar ,Delhi News,C
89,About Content / Initiatives : Languages,Which is NBT’s weekly page based on AI technology?,Tech Gyaan,Gadgets World,NBT AI,Tech-It-Easy,C
90,Basic Product Knowledge : English,Under what title do we publish Obituary/ Prayer meeting Ads? ,Times Memorial,Times Tribute ,Heroes of the Day,Times Rememberance ,B
91,Basic Product Knowledge : English,What is the upper limit for a hanging Ad in TOI,Upto 80 Sq Cm ,Upto 100 Sq Cm ,Upto 240 Sq Cm ,Upto 400 Sq Cm ,B
92,Others,We have done Talking Newspaper in the past but is Vibrating Newspaper a possibility as part of our innovations as well ? ,True ,False ,,,A
93,Others,"Among the 5 senses we can do innovations on touch, hear, smell & sight. Is taste also possible in our Newspaper ",True ,False ,,,A
94,Basic Product Knowledge : English,How many ET editions do we have ,11,21,22,16,A
95,Basic Product Knowledge : Languages,How many VK editions do we have ,22,11,12,8,B
96,IRS Based Questions,As per IRS Q4 2019 out of 27.08 lacs of HTs readership what percentage is limited to Delhi NCR and Mumbai only ,More than 60 -70% ,More than 50-60% ,77%,80%,C
97,IRS Based Questions,As per IRS Q4 2019 Times of India has how much Readership?,50.5 lacs ,47.8 lacs ,60.7 lacs ,55.6 lacs ,D
98,IRS Based Questions,As per IRS Q4 2019 the Hindu had 19.47 lacs of readership. What percentage of it was skewed towards the South ,40%,46%,51%,53%,C
99,Basic Product Knowledge : English,In which of the editions ET Panache gets published ,"Delhi, Mumbai, Bangalore","Delhi, Mumbai","Delhi, Mumbai, Bangalore, Chennai","Delhi, Mumbai, Bangalore, Chennai & pune",A
100,Basic Product Knowledge : English,ET Wealth is published in what format? ,Tabloid ,Broadsheet,Integrated with main Edition,Comes as a pullout basis Ad volume,A
101,Media Concepts,How is RPC calculated (the symbol / in this question stands for divided by)?,Number of Readers / Number of Copies Circulated,Number of Copies Circulated / Number of Readers,Total Cost of Ad / Number of Copies Circulated,Total Sales of Ad / Number of Copies Circulated,A
102,Basic Product Knowledge : English,ET wealth is published in which all edition ,"Delhi, Mumbai, Bangalore",Top 8 Metros ,"Delhi, Mumbai, Bangalore, Chennai & pune",Along with all ET Editions,D
103,Media Concepts,What is RPC?,Readers per Copy,Readers per City,Regional Printed Copies,Readership per Copy,A
104,Others,We did a campaign that created demand for electoral reform among migrant voters. The government and the  election commision were the key tartgets of the campaign. What was the name of the campaign ,Dance of Democracy ,Lost Votes ,Mask India Campaign ,Ink of Democracy ,B
